,Age,Height,Weight,BMI,Length of stent,log_length_stent,Starting HR,Starting SBP,Time from onset to angio (Hrs),log_onset_to_angio,No. of stent
count,1863.0,1786.0,1849.0,1762.0,1714.0,1714.0,1851.0,1846.0,1657.0,1657.0,1863.0
mean,64.89796189066023,166.47724524076148,78.99421419480798,27.26653325402384,30.053092182030337,3.2877440154274162,79.82820097244732,122.68201516793066,8.075404512801448,1.474595605625575,1.1604938271604939
std,13.724473008302091,38.44190676697033,24.813583106580605,4.804755586231821,16.101730165080678,0.46530892645406247,19.898680764491797,28.18525958621487,10.949759416557574,1.041506994996806,0.6359327772196733
min,24.07665982,-99.0,-99.0,13.0,6.0,1.791759469228055,30.0,34.0,0.316666667,-1.1499055820030286,0.0
25%,54.956878849999995,165.0,70.0,24.0,18.0,2.8903717578961645,66.0,103.25,1.983333333,0.6847789307213615,1.0
50%,64.53661875,172.0,80.0,27.0,26.0,3.258096538021482,78.0,121.0,3.5,1.252762968495368,1.0
75%,74.90485968499999,178.0,90.0,30.0,38.0,3.6375861597263857,92.0,141.0,8.616666667,2.1536983123250133,1.0
max,102.9158111,200.0,172.0,53.25443787,112.0,4.718498871295094,170.0,231.0,77.2,4.3463994570307305,5.0
NA,0.0,77.0,14.0,101.0,149.0,149.0,12.0,17.0,206.0,206.0,0.0
NA_perc,0.0,4.13311862587225,0.7514761137949544,5.421363392377885,7.997852925389156,7.997852925389156,0.644122383252818,0.9125067096081589,11.057434245840044,11.057434245840044,0.0
