model,accuracy,precision,recall,f1_score,auc,outcome,oversample,n_feature
ada,0.6809651474530831,0.2518518518518518,0.6538461538461539,0.3636363636363636,0.7421519290678169,Outcome,1.0,5.0
ada,0.8605898123324397,0.0,0.0,0.0,0.7723460340282771,Outcome,False,5.0
ada,0.6809651474530831,0.24031007751937986,0.5961538461538461,0.34254143646408847,0.7384675293553798,Outcome,True,10.0
ada,0.8605898123324397,0.5,0.17307692307692307,0.2571428571428571,0.7860052719865804,Outcome,False,10.0
ada,0.739946380697051,0.27722772277227725,0.5384615384615384,0.36601307189542487,0.7292715073088905,Outcome,True,15.0
ada,0.8632707774798928,0.5263157894736842,0.19230769230769232,0.28169014084507044,0.7885813563383658,Outcome,False,15.0
ada,0.7426273458445041,0.25,0.4230769230769231,0.3142857142857143,0.7316978193146418,Outcome,True,20.0
ada,0.8498659517426274,0.375,0.11538461538461539,0.1764705882352941,0.7906482147136352,Outcome,False,20.0
ada,0.739946380697051,0.2727272727272727,0.5192307692307693,0.3576158940397351,0.7369398514258327,Outcome,True,25.0
ada,0.8552278820375335,0.4375,0.1346153846153846,0.2058823529411765,0.7703690390606278,Outcome,False,25.0
ada,0.7372654155495979,0.27450980392156865,0.5384615384615384,0.36363636363636365,0.7417924754373353,Outcome,True,30.0
ada,0.8525469168900804,0.4,0.11538461538461539,0.1791044776119403,0.7642283728732326,Outcome,False,30.0
gb,0.7211796246648794,0.2636363636363636,0.5576923076923077,0.35802469135802467,0.7641085549964055,Outcome,True,5.0
gb,0.8605898123324397,0.0,0.0,0.0,0.7892403546609154,Outcome,False,5.0
gb,0.7131367292225201,0.2608695652173913,0.5769230769230769,0.35928143712574845,0.7228013419602205,Outcome,True,10.0
gb,0.8605898123324397,0.0,0.0,0.0,0.7694404505152169,Outcome,False,10.0
gb,0.710455764075067,0.24545454545454545,0.5192307692307693,0.3333333333333333,0.719176851186197,Outcome,True,15.0
gb,0.8605898123324397,0.0,0.0,0.0,0.7769889767553319,Outcome,False,15.0
gb,0.7131367292225201,0.26495726495726496,0.5961538461538461,0.3668639053254438,0.7317277737838486,Outcome,True,20.0
gb,0.8605898123324397,0.0,0.0,0.0,0.7721363527438294,Outcome,False,20.0
gb,0.7319034852546917,0.2777777777777778,0.5769230769230769,0.375,0.7431703810208483,Outcome,True,25.0
gb,0.8605898123324397,0.0,0.0,0.0,0.772645578720345,Outcome,False,25.0
gb,0.739946380697051,0.2815533980582524,0.5576923076923077,0.3741935483870968,0.7413132039300264,Outcome,True,30.0
gb,0.8605898123324397,0.0,0.0,0.0,0.7792056074766355,Outcome,False,30.0
svm,0.6943699731903485,0.26153846153846155,0.6538461538461539,0.37362637362637363,0.7747423915648215,Outcome,True,5.0
svm,0.8579088471849866,0.0,0.0,0.0,0.5914809489575844,Outcome,False,5.0
svm,0.710455764075067,0.2543859649122807,0.5576923076923077,0.3493975903614458,0.7161514497963096,Outcome,True,10.0
svm,0.8605898123324397,0.0,0.0,0.0,0.6393481907500599,Outcome,False,10.0
svm,0.7372654155495979,0.25,0.4423076923076923,0.3194444444444444,0.695303139228373,Outcome,True,15.0
svm,0.8605898123324397,0.0,0.0,0.0,0.7139947280134197,Outcome,False,15.0
svm,0.739946380697051,0.23529411764705882,0.38461538461538464,0.291970802919708,0.6991972202252577,Outcome,True,20.0
svm,0.8605898123324397,0.0,0.0,0.0,0.7250778816199376,Outcome,False,20.0
svm,0.7855227882037533,0.27419354838709675,0.3269230769230769,0.29824561403508776,0.7002755811167026,Outcome,True,25.0
svm,0.8605898123324397,0.0,0.0,0.0,0.7546429427270549,Outcome,False,25.0
