,model,test_accuracy,outcome,fit_time,score_time,test_precision,test_recall,test_f1,test_roc_auc
0,lr_baseline,0.9588289759021466,lvef_abnormal,0.0178045272827148,0.0106021881103515,0.6133333333333333,0.1615384615384615,0.2406100091858605,0.7154837255202219
1,lr_baseline,0.9308724832214764,In-Hospital Mortality,0.0174044609069824,0.0100018501281738,0.4914285714285714,0.2499999999999999,0.3213193277310924,0.8543884892086331
2,lr_baseline,0.8692020152771006,ICU admission,0.0138032913208007,0.0104018211364746,0.6827361044752349,0.3666666666666667,0.475193119193506,0.8224079143852663
3,logistic_feature_selection5_oversample,0.7690480251455862,lvef_abnormal,3.83710970878601,0.0098022937774658,0.0790834845735027,0.4076923076923077,0.1322888315071998,0.6307296632807582
4,logistic_feature_selection5_oversample,0.7798657718120805,In-Hospital Mortality,3.743332624435425,0.0104012012481689,0.1919682664753087,0.71,0.3014967874540775,0.8276258992805754
5,logistic_feature_selection5_oversample,0.7316036312135775,ICU admission,3.4420053482055666,0.0104022502899169,0.3372133085167336,0.6666666666666666,0.4478291341742231,0.7714625159006692
6,logistic_feature_selection10_oversample,0.8262639799225167,lvef_abnormal,7.791126346588134,0.0102023124694824,0.0998901046654576,0.3743589743589743,0.1573170585794096,0.6613746278052848
7,logistic_feature_selection10_oversample,0.8073825503355705,In-Hospital Mortality,8.156168937683105,0.0110026359558105,0.1910397802027706,0.58,0.2863682998720108,0.798273381294964
8,logistic_feature_selection10_oversample,0.7656868890901071,ICU admission,7.033589649200439,0.0114027023315429,0.3740294420895864,0.6416666666666667,0.4722708688020846,0.7615704330512691
9,logistic_feature_selection15_oversample,0.85067858970298,lvef_abnormal,13.301635551452636,0.0106032848358154,0.1105696822925676,0.3423076923076923,0.1667452195674133,0.6661332414544094
10,logistic_feature_selection15_oversample,0.825503355704698,In-Hospital Mortality,13.107929706573486,0.0124024391174316,0.2120779462405124,0.58,0.3091693685996139,0.8024460431654677
11,logistic_feature_selection15_oversample,0.7670381463165471,ICU admission,10.889360332489014,0.0114025115966796,0.3714244932512492,0.6041666666666667,0.459586843850398,0.7591220756595322
12,logistic_feature_selection20_oversample,0.8611339879632564,lvef_abnormal,17.335577154159544,0.0120030403137207,0.1200391676866585,0.3576923076923077,0.1790690369513898,0.66723968488932
13,logistic_feature_selection20_oversample,0.8369127516778523,In-Hospital Mortality,17.499703788757323,0.0120026588439941,0.2203866030610216,0.5399999999999999,0.3103511042097998,0.8005035971223021
14,logistic_feature_selection20_oversample,0.7718093380696989,ICU admission,14.173244333267212,0.0122041225433349,0.3748411998782643,0.5875,0.4572952186499329,0.7608694209391074
15,logistic_feature_selection25_oversample,0.866718647206452,lvef_abnormal,20.36419153213501,0.0120027542114257,0.1291072275282801,0.3743589743589743,0.1912265615466044,0.6548193728412706
16,logistic_feature_selection25_oversample,0.8469798657718123,In-Hospital Mortality,19.12920498847961,0.0108024597167968,0.2291724344522049,0.53,0.3170461715820734,0.7993525179856116
17,logistic_feature_selection25_oversample,0.7718163033131341,ICU admission,15.04821581840515,0.0116031169891357,0.3728427128427128,0.575,0.4521087570621468,0.7610833195066643
18,logistic_feature_selection30_oversample,0.8653200458078507,lvef_abnormal,21.6810260295868,0.0120026111602783,0.1273417667603714,0.3743589743589743,0.1885028097586248,0.655809198101169
19,logistic_feature_selection30_oversample,0.8456375838926175,In-Hospital Mortality,23.414175605773927,0.0124026775360107,0.2236151262399586,0.52,0.3108303566760378,0.8025539568345323
20,logistic_feature_selection30_oversample,0.7731745257830094,ICU admission,17.379922580718993,0.0128026962280273,0.3746738329198956,0.5708333333333333,0.4517506087819618,0.7647717216968088
21,l1_feature_selection5,0.958124802027241,lvef_abnormal,3.313887882232666,0.0106021881103515,0.52,0.082051282051282,0.129928894634777,0.7148126520681265
22,l1_feature_selection5,0.9302013422818792,In-Hospital Mortality,3.1901901721954347,0.0108026981353759,0.4544444444444444,0.11,0.1749195402298851,0.8514388489208633
23,l1_feature_selection5,0.8610341064753546,ICU admission,3.0927483558654787,0.0104026794433593,0.6757687964209703,0.3041666666666666,0.4142359188203712,0.7897162767546042
24,l1_feature_selection5_oversample_oversample,0.7690480251455862,lvef_abnormal,4.749014616012573,0.0104030132293701,0.0811752524547442,0.4230769230769231,0.1359929925147316,0.632105516138363
25,l1_feature_selection5_oversample_oversample,0.7798657718120805,In-Hospital Mortality,4.815188312530518,0.0102028369903564,0.1919682664753087,0.71,0.3014967874540775,0.8279856115107913
26,l1_feature_selection5_oversample_oversample,0.7316036312135775,ICU admission,4.429104280471802,0.0100019931793212,0.3372133085167336,0.6666666666666666,0.4478291341742231,0.7715642110502738
27,l1_feature_selection10,0.9567310738042446,lvef_abnormal,9.306050395965576,0.0106027603149414,0.3857142857142857,0.0974358974358974,0.145062656641604,0.7261239344597008
28,l1_feature_selection10,0.9288590604026844,In-Hospital Mortality,8.920165777206421,0.0112030506134033,0.44,0.21,0.2838095238095238,0.8532374100719424
29,l1_feature_selection10,0.8657890459938242,ICU admission,6.378614711761474,0.0106034278869628,0.6710065297021819,0.3458333333333333,0.4538764723345895,0.8245567861290859
30,l1_feature_selection10_oversample_oversample,0.8241685144124169,lvef_abnormal,11.506333255767824,0.0108522891998291,0.098536498921608,0.3743589743589743,0.1556783059972608,0.6532277916730471
31,l1_feature_selection10_oversample_oversample,0.8067114093959733,In-Hospital Mortality,12.494091320037844,0.0106024265289306,0.1901894400667162,0.58,0.2855157849529998,0.8035251798561152
32,l1_feature_selection10_oversample_oversample,0.7615959694457988,ICU admission,9.733666801452635,0.0108026027679443,0.3671809572411015,0.6333333333333333,0.4646356877230011,0.7560815911730546
33,l1_feature_selection15,0.9560342096927464,lvef_abnormal,26.86785478591919,0.0110030651092529,0.3857142857142857,0.082051282051282,0.1203007518796992,0.7359739506235857
34,l1_feature_selection15,0.9261744966442952,In-Hospital Mortality,19.5959566116333,0.0108029842376708,0.4074747474747474,0.2,0.2681053021876158,0.8548561151079138
35,l1_feature_selection15,0.8685101344291983,ICU admission,9.917198133468627,0.0102034091949462,0.6781248381248381,0.3541666666666666,0.4622496782496782,0.8175415491399812
36,l1_feature_selection15_oversample_oversample,0.8513754538144781,lvef_abnormal,20.58676810264588,0.010402488708496,0.1230043967769775,0.3923076923076923,0.1866882618648564,0.6727199564425842
37,l1_feature_selection15_oversample_oversample,0.825503355704698,In-Hospital Mortality,22.176104927062987,0.0104028701782226,0.2058358681267598,0.55,0.2981930307135268,0.8039928057553956
38,l1_feature_selection15_oversample_oversample,0.7684033340298576,ICU admission,15.435924243927,0.010403299331665,0.3714975647336034,0.5958333333333333,0.4572306558892992,0.7602300066368011
39,l1_feature_selection20,0.9560342096927464,lvef_abnormal,47.66837592124939,0.010202407836914,0.3666666666666666,0.0807692307692307,0.1263492063492063,0.7430273084579654
40,l1_feature_selection20,0.9268456375838928,In-Hospital Mortality,32.07071089744568,0.0104030609130859,0.4076334776334777,0.2,0.2662566431837844,0.8596762589928056
41,l1_feature_selection20,0.8691950500336654,ICU admission,13.927026796340945,0.0100025653839111,0.6795112342019035,0.3666666666666666,0.4718294318294318,0.8197438609590177
42,l1_feature_selection20_oversample_oversample,0.8618308520747545,lvef_abnormal,34.10513572692871,0.0104030609130859,0.130595427963849,0.391025641025641,0.1950997629821159,0.6735277933745089
43,l1_feature_selection20_oversample_oversample,0.8355704697986577,In-Hospital Mortality,36.28896865844727,0.0104022502899169,0.2192030277196517,0.54,0.3093194343929187,0.8062230215827337
44,l1_feature_selection20_oversample_oversample,0.7724942536741659,ICU admission,21.998124885559083,0.0104026794433593,0.3772392691644544,0.5958333333333333,0.4615680726078607,0.7628697251258227
45,l1_feature_selection25,0.9553373455812482,lvef_abnormal,69.80915246009826,0.0108029842376708,0.2799999999999999,0.0807692307692307,0.1226890756302521,0.745655726268865
46,l1_feature_selection25,0.9288590604026844,In-Hospital Mortality,47.22927026748657,0.0106029510498046,0.4382395382395382,0.2,0.2728887476384695,0.8553597122302158
47,l1_feature_selection25,0.869875322142509,ICU admission,17.85755662918091,0.0102031707763671,0.6875678023561319,0.3625,0.4714164389321,0.8210880205740834
48,l1_feature_selection25_oversample_oversample,0.8639214444092493,lvef_abnormal,58.625134992599484,0.0108026504516601,0.1259831557793348,0.3743589743589743,0.1874524355196624,0.6675326595545574
49,l1_feature_selection25_oversample_oversample,0.8456375838926175,In-Hospital Mortality,53.34460878372192,0.010602855682373,0.2292984792984793,0.5399999999999999,0.3190589313995165,0.8022302158273382
