,model,test_accuracy,outcome,fit_time,score_time,test_precision,test_recall,test_f1,test_roc_auc
0,lr_baseline_1year,0.8644295302013424,Outcome,0.0217984199523925,0.0106019496917724,0.498015873015873,0.2124390243902439,0.2936114453196926,0.8077220617197576
1,logistic_feature_selection_1year5_oversample,0.714765100671141,Outcome,3.762671852111816,0.0089526653289794,0.2698764325904687,0.6340243902439024,0.3775851388551317,0.7444832954822174
2,logistic_feature_selection_1year10_oversample,0.7395973154362416,Outcome,7.700251626968384,0.009368896484375,0.2747698356250988,0.565,0.3683899888550631,0.7411269829533877
3,logistic_feature_selection_1year15_oversample,0.7597315436241611,Outcome,11.019138956069948,0.0090429782867431,0.2804593733052921,0.5001219512195122,0.3578463703763356,0.7411930660728199
4,logistic_feature_selection_1year20_oversample,0.7624161073825504,Outcome,13.246704006195069,0.0089443206787109,0.2816985446670604,0.4907317073170731,0.3551872018215843,0.7422327928238109
5,logistic_feature_selection_1year25_oversample,0.7691275167785235,Outcome,16.142887592315674,0.009476089477539,0.2946125713367092,0.5106097560975609,0.3714447776853589,0.7422546979157241
6,logistic_feature_selection_1year30_oversample,0.7671140939597316,Outcome,17.274512672424315,0.009153938293457,0.2855087245902568,0.4807317073170731,0.3556199342641247,0.7412422872373687
7,l1_feature_selection_1year5,0.865771812080537,Outcome,3.61406683921814,0.0092028617858886,0.6152380952380951,0.1580487804878048,0.2381722524520847,0.8043246481758999
8,l1_feature_selection_1year5_oversample_oversample,0.7154362416107384,Outcome,5.389223575592041,0.0088000297546386,0.2704200163606104,0.6340243902439024,0.3781366999700731,0.7447913774495631
9,l1_feature_selection_1year10,0.8711409395973154,Outcome,7.698438596725464,0.0094726085662841,0.5901923076923077,0.1926829268292683,0.2854572901125295,0.814347535410473
10,l1_feature_selection_1year10_oversample_oversample,0.7395973154362416,Outcome,12.966582584381104,0.0114516258239746,0.2747698356250988,0.565,0.3683899888550631,0.7416838100219749
11,l1_feature_selection_1year15,0.8718120805369128,Outcome,13.001593494415284,0.0113722324371337,0.5331954887218046,0.2271951219512195,0.3148154981875123,0.8191767087994833
12,l1_feature_selection_1year15_oversample_oversample,0.7597315436241611,Outcome,22.1952609539032,0.0109671115875244,0.2804593733052921,0.5001219512195122,0.3578463703763356,0.7416174271099331
13,l1_feature_selection_1year20,0.8718120805369127,Outcome,18.63805012702942,0.010526418685913,0.5489009287925697,0.2273170731707317,0.3179461584996975,0.8178422472895438
14,l1_feature_selection_1year20_oversample_oversample,0.7644295302013422,Outcome,31.082708501815794,0.0097251415252685,0.2894280132660942,0.5103658536585366,0.366756672106651,0.7427109031813329
15,l1_feature_selection_1year25,0.8691275167785235,Outcome,25.28847575187683,0.0104186058044433,0.5230478156174752,0.2174390243902439,0.3048896851798026,0.8164868554734774
16,l1_feature_selection_1year25_oversample_oversample,0.7671140939597316,Outcome,44.11918802261353,0.0108112335205078,0.2892204569623924,0.5004878048780488,0.364190880684659,0.745338134797057
17,l1_feature_selection_1year30,0.8691275167785234,Outcome,32.32742838859558,0.010814094543457,0.545,0.2174390243902439,0.3071227854949935,0.8124236503630986
18,l1_feature_selection_1year30_oversample_oversample,0.7691275167785234,Outcome,54.5175856590271,0.0106393814086914,0.2912991577130049,0.4953658536585365,0.3640732017128827,0.7455974333338482
19,l2_feature_selection_1year5,0.8651006711409396,Outcome,2.879423189163208,0.0088000297546386,0.6076190476190476,0.1580487804878048,0.2371332914131236,0.8042681050826435
20,l2_feature_selection_1year5_oversample_oversample,0.714765100671141,Outcome,5.148493480682373,0.0134010791778564,0.2698764325904687,0.6340243902439024,0.3775851388551317,0.7447518195388271
21,l2_feature_selection_1year10,0.8697986577181208,Outcome,7.930824327468872,0.0130043029785156,0.5566892911010558,0.2024390243902439,0.2934176724328393,0.8121553488519231
22,l2_feature_selection_1year10_oversample_oversample,0.7402684563758388,Outcome,8.177802133560181,0.0112063884735107,0.2753619408882567,0.565,0.3689782241491808,0.7416066897525369
23,l2_feature_selection_1year15,0.8724832214765101,Outcome,8.059184169769287,0.0085010051727294,0.5590187590187591,0.2220731707317073,0.3133108153525576,0.8171841767621368
24,l2_feature_selection_1year15_oversample_oversample,0.7597315436241611,Outcome,9.745607471466064,0.0086003303527832,0.2804593733052921,0.5001219512195122,0.3578463703763356,0.741462388350243
25,l2_feature_selection_1year20,0.8704697986577182,Outcome,10.006348609924316,0.0085650444030761,0.5413095238095238,0.2419512195121951,0.3308781445946967,0.8186094588798571
26,l2_feature_selection_1year20_oversample_oversample,0.7644295302013422,Outcome,12.229599618911744,0.0084002017974853,0.2894280132660942,0.5103658536585366,0.366756672106651,0.7428082015165459
27,l2_feature_selection_1year25,0.8718120805369127,Outcome,11.670451593399047,0.0087032318115234,0.5513200112580917,0.2420731707317073,0.333417951658808,0.8163609977539463
28,l2_feature_selection_1year25_oversample_oversample,0.7691275167785234,Outcome,14.293945169448852,0.0086049079895019,0.2946615071402846,0.5103658536585366,0.3713609747585912,0.7442992062668795
29,l2_feature_selection_1year30,0.8677852348993287,Outcome,12.962849283218384,0.0093563079833984,0.530002542588355,0.2223170731707317,0.3091496865203762,0.8102245023626601
